Filename	CTN	Day	Treatment	Is_Duplicate	Invasion Score	K14 score	Type
CTN0015_Day6-001_Position(26).zvi.tif	CTN015	6	Vehicle	NA	3	3	Tumor
CTN0015_Day6-001_Position(27).zvi.tif	CTN015	6	Vehicle	NA	3	3	Tumor
CTN0015_Day6-001_Position(28).zvi.tif	CTN015	6	Vehicle	NA	3	3	Tumor
CTN0015_Day6-001_Position(29).zvi.tif	CTN015	6	Vehicle	NA	3	3	Tumor
CTN0015_Day6-001_Position(30).zvi.tif	CTN015	6	Vehicle	NA	0	2	Tumor
CTN0015_Day6-001_Position(31).zvi.tif	CTN015	6	Vehicle	NA	1	2	Tumor
CTN0015_Day6-001_Position(32).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(33).zvi.tif	CTN015	6	Vehicle	NA	0	2	Tumor
CTN0015_Day6-001_Position(34).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(35).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(36).zvi.tif	CTN015	6	Vehicle	NA	1	2	Tumor
CTN0015_Day6-001_Position(37).zvi.tif	CTN015	6	Vehicle	NA	0	2	Tumor
CTN0015_Day6-001_Position(38).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(39).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(40).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(41).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(42).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(43).zvi.tif	CTN015	6	Vehicle	NA	0	3	Tumor
CTN0015_Day6-001_Position(44).zvi.tif	CTN015	6	Vehicle	NA	2	2	Tumor
CTN0015_Day6-001_Position(45).zvi.tif	CTN015	6	Vehicle	NA	2	3	Tumor
CTN002_Day6_B1-018_AB01_01.zvi.tif	CTN002	6	Vehicle	NA	3	3	Tumor
CTN002_Day6_B1-018_AB01_02.zvi.tif	CTN002	6	Vehicle	NA	2	2	Tumor
CTN002_Day6_B1-018_AB01_03.zvi.tif	CTN002	6	Vehicle	NA	2	3	Tumor
CTN002_Day6_B1-018_AB01_04.zvi.tif	CTN002	6	Vehicle	NA	0	3	Tumor
CTN002_Day6_B1-018_AB01_05.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B1-018_AB01_06.zvi.tif	CTN002	6	Vehicle	NA	2	3	Tumor
CTN002_Day6_B1-018_AB01_07.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B1-018_AB01_08.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B1-018_AB01_09.zvi.tif	CTN002	6	Vehicle	NA	3	3	Tumor
CTN002_Day6_B1-018_AB01_10.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B1-018_AB01_11.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B1-018_AB01_12.zvi.tif	CTN002	6	Vehicle	NA	3	2	Tumor
CTN002_Day6_B3-017_AB03_01.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B3-017_AB03_02.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_03.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_04.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_05.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B3-017_AB03_06.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_07.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B3-017_AB03_08.zvi.tif	CTN002	6	Vehicle	NA	0	1	Tumor
CTN002_Day6_B3-017_AB03_09.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_10.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B3-017_AB03_11.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_12.zvi.tif	CTN002	6	Vehicle	NA	1	2	Tumor
CTN002_Day6_B3-017_AB03_13.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN002_Day6_B3-017_AB03_14.zvi.tif	CTN002	6	Vehicle	NA	0	2	Tumor
CTN004_Day6-013_Position(173).zvi.tif	CTN004	6	Vehicle	NA	3	2	Tumor
CTN004_Day6-013_Position(174).zvi.tif	CTN004	6	Vehicle	NA	3	3	Tumor
CTN004_Day6-013_Position(175).zvi.tif	CTN004	6	Vehicle	NA	3	3	Tumor
CTN004_Day6-013_Position(176).zvi.tif	CTN004	6	Vehicle	NA	1	2	Tumor
CTN004_Day6-013_Position(177).zvi.tif	CTN004	6	Vehicle	NA	0	2	Tumor
CTN004_Day6-013_Position(178).zvi.tif	CTN004	6	Vehicle	NA	2	3	Tumor
CTN004_Day6-013_Position(179).zvi.tif	CTN004	6	Vehicle	NA	0	3	Tumor
CTN007_Day6-002_AB03_01.zvi.tif	CTN007	6	Vehicle	NA	0	1	Tumor
CTN007_Day6-002_AB03_02.zvi.tif	CTN007	6	Vehicle	NA	0	1	Tumor
CTN007_Day6-002_AB03_03.zvi.tif	CTN007	6	Vehicle	NA	3	1	Tumor
CTN007_Day6-002_AB03_04.zvi.tif	CTN007	6	Vehicle	NA	1	0	Tumor
CTN007_Day6-002_AB03_05.zvi.tif	CTN007	6	Vehicle	NA	0	0	Tumor
CTN007_Day6-002_AB03_06.zvi.tif	CTN007	6	Vehicle	NA	2	0	Tumor
CTN007_Day6-002_AB03_07.zvi.tif	CTN007	6	Vehicle	NA	0	0	Tumor
CTN007_Day6-002_AB03_08.zvi.tif	CTN007	6	Vehicle	NA	0	0	Tumor
CTN009_Day6-002_Position(46).zvi.tif	CTN009	6	Vehicle	NA	1	3	Tumor
CTN009_Day6-002_Position(47).zvi.tif	CTN009	6	Vehicle	NA	1	2	Tumor
CTN009_Day6-002_Position(48).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(49).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(50).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(51).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(52).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(53).zvi.tif	CTN009	6	Vehicle	NA	1	2	Tumor
CTN009_Day6-002_Position(54).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(55).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(56).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(57).zvi.tif	CTN009	6	Vehicle	NA	0	2	Tumor
CTN009_Day6-002_Position(58).zvi.tif	CTN009	6	Vehicle	NA	0	2	Tumor
CTN009_Day6-002_Position(59).zvi.tif	CTN009	6	Vehicle	NA	1	2	Tumor
CTN009_Day6-002_Position(60).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(61).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(62).zvi.tif	CTN009	6	Vehicle	NA	0	1	Tumor
CTN009_Day6-002_Position(63).zvi.tif	CTN009	6	Vehicle	NA	0	3	Tumor
CTN009_Day6-002_Position(64).zvi.tif	CTN009	6	Vehicle	NA	0	0	Tumor
CTN009_Day6-002_Position(65).zvi.tif	CTN009	6	Vehicle	NA	2	3	Tumor
CTN009_Day6-002_Position(66).zvi.tif	CTN009	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_01.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN010_Day6-003_AC04_02.zvi.tif	CTN010	6	Vehicle	NA	1	2	Tumor
CTN010_Day6-003_AC04_03.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_04.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_05.zvi.tif	CTN010	6	Vehicle	NA	2	1	Tumor
CTN010_Day6-003_AC04_06.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_07.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_08.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN010_Day6-003_AC04_09.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_10.zvi.tif	CTN010	6	Vehicle	NA	0	0	Tumor
CTN010_Day6-003_AC04_11.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN010_Day6-003_AC04_12.zvi.tif	CTN010	6	Vehicle	NA	1	2	Tumor
CTN010_Day6-003_AC04_13.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_14.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_15.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_16.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_17.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN010_Day6-003_AC04_18.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_19.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_20.zvi.tif	CTN010	6	Vehicle	NA	1	1	Tumor
CTN010_Day6-003_AC04_21.zvi.tif	CTN010	6	Vehicle	NA	3	0	Tumor
CTN010_Day6-003_AC04_22.zvi.tif	CTN010	6	Vehicle	NA	2	2	Tumor
CTN010_Day6-003_AC04_23.zvi.tif	CTN010	6	Vehicle	NA	1	3	Tumor
CTN010_Day6-003_AC04_24.zvi.tif	CTN010	6	Vehicle	NA	2	2	Tumor
CTN010_Day6-003_AC04_25.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_26.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN010_Day6-003_AC04_27.zvi.tif	CTN010	6	Vehicle	NA	2	2	Tumor
CTN010_Day6-003_AC04_29.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_31.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_32.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_33.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_34.zvi.tif	CTN010	6	Vehicle	NA	2	2	Tumor
CTN010_Day6-003_AC04_35.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_36.zvi.tif	CTN010	6	Vehicle	NA	3	3	Tumor
CTN010_Day6-003_AC04_37.zvi.tif	CTN010	6	Vehicle	NA	2	1	Tumor
CTN010_Day6-003_AC04_38.zvi.tif	CTN010	6	Vehicle	NA	2	2	Tumor
CTN010_Day6-003_AC04_39.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_40.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_41.zvi.tif	CTN010	6	Vehicle	NA	0	2	Tumor
CTN010_Day6-003_AC04_42.zvi.tif	CTN010	6	Vehicle	NA	1	2	Tumor
CTN010_Day6-003_AC04_43.zvi.tif	CTN010	6	Vehicle	NA	0	3	Tumor
CTN010_Day6-003_AC04_44.zvi.tif	CTN010	6	Vehicle	NA	0	1	Tumor
CTN010_Day6-003_AC04_45.zvi.tif	CTN010	6	Vehicle	NA	1	2	Tumor
CTN010_Day6-003_AC04_46.zvi.tif	CTN010	6	Vehicle	NA	3	2	Tumor
CTN011_Day6-001_AB02_01.zvi.tif	CTN011	6	Vehicle	NA	1	2	Tumor
CTN011_Day6-001_AB02_02.zvi.tif	CTN011	6	Vehicle	NA	3	3	Tumor
CTN011_Day6-001_AB02_03.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_04.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_05.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_06.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_07.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_08.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_09.zvi.tif	CTN011	6	Vehicle	NA	1	3	Tumor
CTN011_Day6-001_AB02_10.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_11.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_12.zvi.tif	CTN011	6	Vehicle	NA	3	3	Tumor
CTN011_Day6-001_AB02_13.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_14.zvi.tif	CTN011	6	Vehicle	NA	2	1	Tumor
CTN011_Day6-001_AB02_15.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_16.zvi.tif	CTN011	6	Vehicle	NA	2	0	Tumor
CTN011_Day6-001_AB02_17.zvi.tif	CTN011	6	Vehicle	NA	1	2	Tumor
CTN011_Day6-001_AB02_18.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_19.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_20.zvi.tif	CTN011	6	Vehicle	NA	1	1	Tumor
CTN011_Day6-001_AB02_21.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_22.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_23.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_24.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_25.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_26.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_27.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_28.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_29.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_30.zvi.tif	CTN011	6	Vehicle	NA	3	3	Tumor
CTN011_Day6-001_AB02_31.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_32.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_33.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_34.zvi.tif	CTN011	6	Vehicle	NA	2	3	Tumor
CTN011_Day6-001_AB02_35.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_36.zvi.tif	CTN011	6	Vehicle	NA	3	3	Tumor
CTN011_Day6-001_AB02_37.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_38.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_39.zvi.tif	CTN011	6	Vehicle	NA	3	2	Tumor
CTN011_Day6-001_AB02_40.zvi.tif	CTN011	6	Vehicle	NA	0	2	Tumor
CTN011_Day6-001_AB02_41.zvi.tif	CTN011	6	Vehicle	NA	2	1	Tumor
CTN011_Day6-001_AB02_42.zvi.tif	CTN011	6	Vehicle	NA	0	1	Tumor
CTN011_Day6-001_AB02_43.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_44.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_45.zvi.tif	CTN011	6	Vehicle	NA	2	2	Tumor
CTN011_Day6-001_AB02_46.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011_Day6-001_AB02_47.zvi.tif	CTN011	6	Vehicle	NA	1	1	Tumor
CTN011_Day6-001_AB02_48.zvi.tif	CTN011	6	Vehicle	NA	0	3	Tumor
CTN011d3 Invasive, not K14-01_AA05_01.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_02.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_03.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_04.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_05.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_06.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_07.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_08.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_09.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_10.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_11.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_12.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_13.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_14.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_15.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_16.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_17.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_18.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_19.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_20.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_21.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_22.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_23.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_24.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_25.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_26.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_27.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_28.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_29.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_30.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_31.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_32.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_33.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_34.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_35.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_36.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_37.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_38.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_39.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_40.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_41.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_42.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_43.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_44.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_45.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_46.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_47.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_48.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_49.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_50.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN011d3 Invasive, not K14-01_AA05_51.zvi.tif	CTN023	6	Vehicle	NA	0	0	Tumor
CTN014_Day6-009_AB02_01.zvi.tif	CTN014	6	Vehicle	NA	0	0	Tumor
CTN014_Day6-009_AB02_02.zvi.tif	CTN014	6	Vehicle	NA	0	0	Tumor
CTN014_Day6-009_AB02_03.zvi.tif	CTN014	6	Vehicle	NA	0	1	Tumor
CTN014_Day6-009_AB02_04.zvi.tif	CTN014	6	Vehicle	NA	0	1	Tumor
CTN014_Day6-009_AB02_05.zvi.tif	CTN014	6	Vehicle	NA	0	0	Tumor
CTN014_Day6-009_AB02_06.zvi.tif	CTN014	6	Vehicle	NA	0	1	Tumor
CTN014_Day6-009_AB02_07.zvi.tif	CTN014	6	Vehicle	NA	0	1	Tumor
CTN016_Day6-010_AB02_01.zvi.tif	CTN016	6	Vehicle	NA	0	0	Tumor
CTN016_Day6-010_AB02_02.zvi.tif	CTN016	6	Vehicle	NA	2	2	Tumor
CTN016_Day6-010_AB03_01.zvi.tif	CTN016	6	Vehicle	NA	0	1	Tumor
CTN018_Day6-012_Position(165).zvi.tif	CTN018	6	Vehicle	NA	2	2	Tumor
CTN018_Day6-012_Position(166).zvi.tif	CTN018	6	Vehicle	NA	3	3	Tumor
CTN018_Day6-012_Position(167).zvi.tif	CTN018	6	Vehicle	NA	3	2	Tumor
CTN018_Day6-012_Position(168).zvi.tif	CTN018	6	Vehicle	NA	3	1	Tumor
CTN018_Day6-012_Position(169).zvi.tif	CTN018	6	Vehicle	NA	1	0	Tumor
CTN018_Day6-012_Position(170).zvi.tif	CTN018	6	Vehicle	NA	0	0	Tumor
CTN018_Day6-012_Position(171).zvi.tif	CTN018	6	Vehicle	NA	3	1	Tumor
CTN018_Day6-012_Position(172).zvi.tif	CTN018	6	Vehicle	NA	1	2	Tumor
CTN019d6 K14-05_AB02_01.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_02.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_03.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_04.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_05.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_06.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_07.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_08.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_09.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
CTN019d6 K14-05_AB02_10.zvi.tif	CTN019	6	Vehicle	NA	1	0	Tumor
CTN019d6 K14-05_AB02_11.zvi.tif	CTN019	6	Vehicle	NA	0	0	Tumor
